F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,T
176,0,0,0,-416,0,-416,-416,-56,0,640,640,696,640,1016,696,840,960,880,720,744,528,344,288,228,176,144,104,48,24,8,0,1,511
912,0,0,0,1024,0,1024,1024,264,0,1088,1088,680,1088,1192,648,1124,1536,1712,1456,1648,1584,1376,1352,1342,1168,904,656,382,160,38,2,1,510
880,0,0,0,928,0,928,928,200,0,768,768,360,768,552,168,352,576,496,400,480,336,304,312,312,272,240,184,120,72,32,8,1,513
432,0,0,0,576,0,576,576,576,0,576,576,512,576,384,96,120,-384,320,384,248,896,504,408,490,0,128,96,-102,32,42,-6,1,138
16,0,0,0,64,0,64,64,88,0,192,192,136,192,264,168,184,384,272,208,256,208,112,168,184,80,64,40,-8,-8,0,0,1,170
1840,0,0,0,3072,0,3072,3072,3024,0,3904,3904,3792,3904,4816,2864,2412,3072,3424,2912,2680,2272,1496,1000,932,864,696,520,340,168,52,8,1,592
144,0,0,0,-64,0,-64,-64,64,0,192,192,256,192,384,288,328,384,512,448,464,448,400,336,336,320,272,208,144,80,32,8,1,82
1840,0,0,0,1632,0,1632,1632,776,0,1408,1408,744,1408,1064,360,520,960,560,400,528,208,96,200,188,80,64,40,-8,-8,0,0,1,511
1648,0,0,0,2720,0,2720,2720,2664,0,3712,3712,3464,3712,4680,2824,2588,3648,3696,3088,3016,2512,1688,1376,1358,1168,904,656,382,160,38,2,1,138
16,0,0,0,64,0,64,64,120,0,192,192,232,192,360,264,304,384,464,400,432,400,352,312,312,272,240,184,120,72,32,8,1,170
