F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,T
12,0,9,-12,-9,0,-6,-9,-9,-6,0,0,1,167
6,-9,9,3,9,9,3,0,-9,12,0,-9,1,120
6,9,0,-3,9,9,0,0,-9,-12,-9,12,1,212
6,9,-9,-3,9,-9,-9,0,-9,-3,-9,0,1,169
18,27,0,9,27,36,6,36,9,24,27,-12,1,215
3,9,0,12,-9,0,0,0,0,-12,-6,-9,1,121
-12,-9,-9,-3,-9,0,-9,-9,-9,3,-6,12,1,169
-6,9,0,-3,-9,0,0,9,9,-6,0,6,1,212
18,-27,-27,-36,27,0,-33,36,-36,27,27,18,1,39
12,-9,-9,-3,0,0,0,-9,-9,-3,9,12,1,212
-3,0,0,-3,0,0,-3,0,0,3,-3,3,1,116
9,27,-27,9,27,0,0,36,-18,39,-27,-9,1,70
3,9,9,-3,9,-9,6,0,9,-12,3,12,1,167
-3,9,-9,-12,9,0,0,0,9,3,0,0,1,169
81,243,-243,-135,-324,-162,-297,189,243,-138,360,162,1,170
-99,-81,0,36,54,27,120,-27,-81,-3,36,-36,1,130
9,9,0,0,9,9,12,6,3,3,-3,12,1,34
-81,81,81,-27,27,-108,-90,-54,-99,-114,-48,42,1,46
162,0,0,27,0,0,0,0,0,0,0,0,1,119
3,0,0,-3,0,-3,0,-3,3,3,0,-3,1,212
81,0,81,-54,-81,-27,9,54,63,57,54,60,1,131
12,0,9,12,-9,9,12,0,9,-3,-6,-12,1,35
-9,0,0,9,9,9,12,-9,9,-9,12,-9,1,131
-3,0,0,-3,0,0,-3,0,0,0,3,0,1,169
81,-81,81,0,-54,-54,117,-99,-63,-78,81,21,1,119
-18,-27,0,-9,-18,9,21,-36,36,-24,-39,-30,1,2
6,-9,-9,6,9,-9,3,-9,12,12,-9,6,1,42
3,9,-9,12,-9,9,12,-9,0,9,-9,-12,1,212
3,9,-9,6,9,9,6,0,0,3,-9,-12,1,212
12,0,9,-9,9,9,6,-9,-9,9,-9,9,1,42
3,0,0,-9,9,-9,9,0,0,-12,0,0,1,116
3,0,0,0,0,0,0,3,0,0,0,0,1,84
