F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,T
3,0,54,0,0,0,0,0,0,1,3
3,0,0,0,0,18,6,18,0,1,17
6,0,0,18,0,0,0,0,9,1,20
6,0,0,36,0,0,9,0,9,1,20
6,0,9,15,0,0,0,0,0,1,18
15,0,0,0,18,0,12,0,0,1,13
6,54,27,0,0,0,0,0,18,1,24
6,0,0,12,0,0,6,0,0,1,21
6,0,0,72,0,0,0,0,0,1,21
6,0,0,18,0,18,0,0,0,1,11
27,0,0,0,0,18,24,0,0,1,17
6,0,0,0,0,18,9,0,0,1,11
3,0,0,24,0,0,0,0,0,1,24
12,0,0,0,18,0,24,0,0,1,22
3,0,0,18,0,18,0,0,0,1,11
6,0,18,6,9,0,0,0,0,1,20
12,0,0,0,18,0,21,0,0,1,24
6,0,0,0,0,18,6,0,0,1,3
3,0,0,3,0,0,0,0,6,1,24
6,0,0,6,0,0,3,0,3,1,24
6,0,0,6,0,0,0,0,3,1,24
6,0,0,0,0,18,0,0,0,1,11
39,0,0,0,0,0,0,0,0,1,10
6,0,0,0,0,18,3,0,0,1,17
54,0,0,0,0,0,3,0,0,1,22
15,0,0,0,18,0,24,0,0,1,18
3,0,0,15,9,0,0,0,0,1,24
21,0,18,21,0,0,24,0,0,1,20
12,54,0,0,0,0,0,0,9,1,24
6,9,9,21,0,0,0,0,0,1,10
3,0,9,21,0,0,0,0,0,1,24
6,0,18,3,0,0,0,0,0,1,24
6,27,0,0,0,0,0,0,0,1,21
27,0,0,72,0,0,9,0,0,1,4
15,0,0,0,18,0,21,0,0,1,13
3,54,0,18,0,0,0,9,0,1,21
39,0,0,0,0,0,9,0,0,1,10
21,0,0,0,0,0,9,0,0,1,10
15,0,0,0,9,0,15,0,0,1,24
6,0,0,3,0,0,0,6,6,1,20
3,0,9,24,9,0,18,0,0,1,20
6,0,0,0,0,0,21,9,9,1,22
30,0,0,0,0,0,0,0,0,1,10
12,0,0,0,0,0,0,9,0,1,21
3,0,0,0,0,9,12,0,18,1,20
60,0,0,45,0,0,0,0,9,1,20
27,0,0,18,0,18,0,0,6,1,22
30,0,0,9,0,0,0,18,0,1,24
6,18,0,0,0,0,0,0,0,1,16
6,18,0,0,0,0,3,0,0,1,13
51,54,0,0,0,0,18,0,9,1,20
15,0,0,0,9,0,21,0,0,1,22
3,0,0,6,0,0,6,3,0,1,4
6,0,0,0,0,0,9,0,0,1,10
6,54,27,63,0,0,0,0,0,1,21
6,0,0,0,0,0,6,0,0,1,24
6,18,0,0,0,0,6,0,0,1,20
54,0,0,18,0,0,0,0,0,1,22
3,0,0,6,0,0,3,3,0,1,20
3,0,0,6,0,0,0,3,0,1,20
6,0,0,0,0,0,3,0,0,1,22
6,0,0,0,0,0,0,0,0,1,10
3,0,0,9,0,0,0,0,18,1,20
3,0,9,12,0,18,6,0,0,1,24
3,0,9,24,0,18,0,0,0,1,20
15,9,0,0,0,0,0,0,0,1,14
66,54,0,0,0,0,0,0,18,1,20
15,9,0,0,0,0,3,0,0,1,17
6,0,18,21,0,0,0,0,0,1,24
12,0,0,0,0,9,0,9,0,1,18
3,0,27,0,0,0,0,0,18,1,20
3,0,0,0,0,0,9,9,0,1,21
3,0,0,0,0,0,6,9,0,1,22
3,0,0,0,18,0,6,0,0,1,22
3,0,0,0,18,0,0,0,0,1,18
6,27,0,18,0,0,0,0,0,1,21
3,0,0,0,18,0,3,0,0,1,24
6,27,27,0,0,0,0,0,9,1,20
3,0,0,0,0,0,3,9,0,1,24
6,0,0,18,18,0,18,0,0,1,12
3,0,0,9,0,9,12,0,9,1,20
3,0,0,0,0,0,0,9,0,1,21
54,0,54,72,0,0,0,0,0,1,17
6,0,0,0,54,0,0,0,0,1,10
3,18,0,6,0,0,0,0,0,1,24
3,0,18,21,0,0,15,0,0,1,12
27,0,0,0,9,0,6,0,0,1,22
27,54,0,18,0,0,0,0,0,1,13
3,9,0,12,0,0,0,0,0,1,10
6,0,0,9,9,0,0,0,0,1,18
60,0,0,18,0,0,0,9,0,1,21
12,0,18,0,18,0,6,0,0,1,4
6,0,54,45,0,0,0,0,0,1,21
6,0,0,3,0,0,0,18,0,1,21
6,0,0,0,0,0,0,9,18,1,21
6,27,54,0,0,0,0,0,0,1,21
6,0,0,9,0,0,0,18,0,1,24
6,0,0,3,18,0,0,0,0,1,21
27,0,27,18,0,18,0,0,0,1,6
15,18,0,9,0,0,6,0,0,1,20
24,0,0,9,0,18,21,0,9,1,1
15,0,0,15,0,0,0,0,0,1,24
6,0,0,6,0,0,24,0,0,1,24
3,27,54,0,0,0,0,0,18,1,20
6,0,0,0,0,0,24,0,0,1,24
6,0,0,6,0,0,21,0,0,1,24
3,9,0,3,0,0,3,0,0,1,10
15,0,0,18,0,0,0,9,0,1,21
3,9,0,3,0,0,0,0,0,1,10
3,0,0,3,0,6,0,0,0,1,18
6,0,0,0,0,0,15,0,0,1,24
3,18,9,3,0,0,0,0,0,1,18
54,0,27,18,0,18,0,0,0,1,1
3,0,0,0,0,18,6,9,0,1,6
1,0,1,-1,0,0,0,0,0,1,1
3,54,0,0,0,0,18,0,0,1,21
6,0,0,6,0,0,12,0,0,1,24
57,0,0,72,0,0,0,0,18,1,20
6,0,3,0,0,0,0,0,0,1,16
12,0,0,0,0,9,24,0,0,1,22
3,0,0,3,0,0,3,6,0,1,20
3,0,0,0,9,9,9,0,0,1,12
3,0,0,3,0,0,0,6,0,1,20
3,0,0,9,9,18,0,0,0,1,12
6,0,0,0,0,0,18,0,0,1,10
3,0,9,6,0,0,0,0,0,1,20
3,9,9,0,0,0,3,0,0,1,11
